"SMILES","logPow","UNIT {logPow}","Water solubility","UNIT {Water solubility}","logPow {measured, converted}","UNIT {logPow}","Water solubility {measured, converted}","UNIT {Water solubility}"
"CN1COCC2=C3N=C4C(C=CC5=C4COC(=O)N5)=CC3=CC=C12","1.7","Log unit","-","-","5012.0","% ","-","-"
"CN1COCC2=C1C=CC1=C2N=C2C(C=CC(N)=C2CO)=C1","1.64","Log unit","-","-","4365.0","% ","-","-"
"CNC1=C(CO)C2=NC3=C(C=CC4=C3COCN4S(C)(=O)=O)C=C2C=C1","1.2","Log unit","-","-","1585.0","% ","-","-"
"CCOC(=O)N1COCC2=C1C=CC1=C2N=C2C(CO)=C(NC)C=CC2=C1","1.75","Log unit","-","-","5623.0","% ","-","-"
"CNC1=C(CO)C2=NC3=C(C=CC4=C3COCN4)C=C2C=C1","1.65","Log unit","-","-","4467.0","% ","-","-"
"CCOC(=O)N1COCC2=C1C=CC1=CC3=C(N=C21)C1=C(C=C3)N(COC1)C(=O)OCC","2.5","Log unit","-","-","31620.0","% ","-","-"
"C1NC2=C(CO1)C1=NC3=C(C=CC4=C3COCN4)C=C1C=C2","2.17","Log unit","-","-","14790.0","% ","-","-"
"OC(=O)CC(N1CCN(CCCC2=NC3=C(CCCN3)C=C2)C1=O)C1=CC2=C(CCO2)C=C1","0.8","Log unit","-","-","631.0","% ","-","-"
"COC1=C(F)C=C(C=C1)C(CC(O)=O)N1CCN(CCCC2=NC3=C(CCCN3)C=C2)C1=O","0.82","Log unit","-","-","660.7","% ","-","-"
"OC(=O)CC(N1CCN(CCCC2=NC3=C(CCCN3)C=C2)C1=O)C1=CN=CC=C1","-0.55","Log unit","-","-","28.18","% ","-","-"
"COC1=CC=C(C=N1)C(CC(O)=O)N1CCN(CCCC2=NC3=C(CCCN3)C=C2)C1=O","0.21","Log unit","-","-","162.2","% ","-","-"
"OC(=O)C1=C(CNC(=O)C2=CC=CC=C2)C2=C(Cl)C=C(Cl)C=C2N1","2.36","Log unit","-","-","22910.0","% ","-","-"
"OC(=O)C1=C(CNS(=O)(=O)C2=CC=CC=C2)C2=C(Cl)C=C(Cl)C=C2N1","3.1","Log unit","-","-","125900.0","% ","-","-"
"OC(=O)C1=C(CNC(=O)NC2=CC=CC=C2)C2=C(Cl)C=C(Cl)C=C2N1","2.83","Log unit","-","-","67610.0","% ","-","-"
"OC(=O)C1=C(CN2CC(=O)N(C2=O)C2=CC=CC=C2)C2=C(Cl)C=C(Cl)C=C2N1","2.16","Log unit","-","-","14450.0","% ","-","-"
"CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1S(N)(=O)=O)C1=CC(=CC=C1)C(N)=N","1.5","Log unit","-","-","3162.0","% ","-","-"
"CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1S(N)(=O)=O)C1=CC(CN)=CC=C1","1.7","Log unit","-","-","5012.0","% ","-","-"
"COC1=CC=C(C=C1)N1N=C(C)C=C1C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1S(N)(=O)=O","2.9","Log unit","-","-","79430.0","% ","-","-"
"CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=C(C=CC=C1)S(N)(=O)=O)C1=CC=C(C=C1)C(N)=O","2.1","Log unit","-","-","12590.0","% ","-","-"
"CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1S(N)(=O)=O)C1=CC2=C(ON=C2N)C=C1","2.3","Log unit","-","-","19950.0","% ","-","-"
"CC1=NN(C(=C1)C(=O)NC1=CC=C(C=C1)C1=C(C=CC=C1)S(N)(=O)=O)C1=CC2=C(C=CN=C2N)C=C1","2.6","Log unit","-","-","39810.0","% ","-","-"
"CC1=CN(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)OC3=CC=C(CC(N)C(O)=O)C=C3)O2)C(=O)NC1=O","0.25","Log unit","-","-","177.8","% ","-","-"
"CC1=CN(C2CC(N=[N+]=[N-])C(COP(=O)(OCCSC(=O)C(C)(C)C)OC3=CC=C(CC(N)CO)C=C3)O2)C(=O)NC1=O","0.64","Log unit","-","-","436.5","% ","-","-"
"CC1=CN(C2CC(N=[N]#N)C(COP(=O)(OCCSC(=O)C(C)(C)C)OC3=CC=C(CC(N)C(N)=O)C=C3)O2)C(=O)NC1=O","1.27","Log unit","-","-","1862.0","% ","-","-"
"CC(=O)NC(CC1=CC=C(OP(=O)(OCCSC(=O)C(C)(C)C)OCC2OC(CC2N=[N]#N)N2C=C(C)C(=O)NC2=O)C=C1)C(N)=O","1.52","Log unit","-","-","3311.0","% ","-","-"
"CCCCCCCC[N+](C)(C)CCS([O-])(=O)=O","0.29","Log unit","-","-","195.0","% ","-","-"
"CCCCCCCCCCCC[N+](C)(C)CCS([O-])(=O)=O","1.79","Log unit","-","-","6166.0","% ","-","-"
"CCCCCC[N+](C)(C)CCCS([O-])(=O)=O","-1.22","Log unit","-","-","6.026","% ","-","-"
"CCCCCCC[N+](C)(C)CCCS([O-])(=O)=O","-1.97","Log unit","-","-","1.072","% ","-","-"
"CCCCCCCC[N+](C)(C)CCCS([O-])(=O)=O","-0.47","Log unit","-","-","33.88","% ","-","-"
"CCCCCCCCCC[N+](C)(C)CCCS([O-])(=O)=O","0.57","Log unit","-","-","371.5","% ","-","-"
"CCCCCCCCCCCC[N+](C)(C)CCCS([O-])(=O)=O","1.65","Log unit","-","-","4467.0","% ","-","-"
"C[N+](C)(CCCS([O-])(=O)=O)CC1=CC=CC=C1","-2.27","Log unit","-","-","0.537","% ","-","-"
"C[N+](C)(CCCS([O-])(=O)=O)CCC1=CC=CC=C1","-1.87","Log unit","-","-","1.349","% ","-","-"
"C[N+](C)(CCCC1=CC=CC=C1)CCCS([O-])(=O)=O","-1.57","Log unit","-","-","2.692","% ","-","-"
"C[N+](C)(CCCCC1=CC=CC=C1)CCCS([O-])(=O)=O","-1.17","Log unit","-","-","6.761","% ","-","-"
"CCCCC1=CC=C(CCC[N+](C)(C)CCCS([O-])(=O)=O)C=C1","0.55","Log unit","-","-","354.8","% ","-","-"
"CCCCCCC1=CC=C(CCC[N+](C)(C)CCCS([O-])(=O)=O)C=C1","1.89","Log unit","-","-","7762.0","% ","-","-"
"CCCCCC[N+](C)(C)CCCCS([O-])(=O)=O","-1.08","Log unit","-","-","8.318","% ","-","-"
"CCCCCCC[N+](C)(C)CCCCS([O-])(=O)=O","-1.23","Log unit","-","-","5.888","% ","-","-"
"CCCCCCCC[N+](C)(C)CCCCS([O-])(=O)=O","-0.36","Log unit","-","-","43.65","% ","-","-"
"C[N+](C)(CCCCS([O-])(=O)=O)CC1=CC=CC=C1","-2.32","Log unit","-","-","0.4786","% ","-","-"
"C[N+](C)(CCCCS([O-])(=O)=O)CCC1=CC=CC=C1","-2.06","Log unit","-","-","0.871","% ","-","-"
"C[N+](C)(CCCCS([O-])(=O)=O)CCCC1=CC=CC=C1","-1.7","Log unit","-","-","1.995","% ","-","-"
"C[N+](C)(CCCCC1=CC=CC=C1)CCCCS([O-])(=O)=O","-1.41","Log unit","-","-","3.89","% ","-","-"
"CCCCC1=CC=C(CCC[N+](C)(C)CCCCS([O-])(=O)=O)C=C1","0.3","Log unit","-","-","199.5","% ","-","-"
"CCCCCCC1=CC=C(CCC[N+](C)(C)CCCCS([O-])(=O)=O)C=C1","1.64","Log unit","-","-","4365.0","% ","-","-"
"COCC1=C(C)CC2=C(OC)C(=O)C3=C(O)C=C(OC)C4=C3C2=C2C3=C4C(OC)=CC(O)=C3C(=O)C(OC)=C12","1.67","Log unit","-","-","4677.0","% ","-","-"
"COCC1=C(C)CC2=C(NCCN3CCOCC3)C(O)=C3C(=O)C=C(OC)C4=C5C(OC)=CC(=O)C6=C(O)C(OC)=C1C(C2=C34)=C56","1.15","Log unit","-","-","1413.0","% ","-","-"
"COCC1=C(C)CC2=C(NCCN(C)C)C(O)=C3C(=O)C=C(OC)C4=C5C(OC)=CC(=O)C6=C(O)C(OC)=C1C(C2=C34)=C56","0.5","Log unit","-","-","316.2","% ","-","-"
"COCC1=C(C)CC2=C(NCCN3CCNCC3)C(O)=C3C(=O)C=C(OC)C4=C5C(OC)=CC(=O)C6=C(O)C(OC)=C1C(C2=C34)=C56","1.0","Log unit","-","-","1000.0","% ","-","-"
"CC(=O)N1CCN(CC2=CC=NC(NC3=NC=C(S3)C#N)=C2)CC1","2.05","Log unit","-","-","11220.0","% ","-","-"
"N#CC1=CN=C(NC2=CC(CN3CCNCC3)=CC=N2)S1","0.72","Log unit","-","-","524.8","% ","-","-"
"NC(=O)N1CCN(CC2=CC=NC(NC3=NC=C(S3)C#N)=C2)CC1","1.91","Log unit","-","-","8128.0","% ","-","-"
"CN(C)C(=O)N1CCN(CC2=CC=NC(NC3=NC=C(S3)C#N)=C2)CC1","2.74","Log unit","-","-","54950.0","% ","-","-"
"CNC(=O)N1CCN(CC2=CC=NC(NC3=NC=C(S3)C#N)=C2)CC1","2.06","Log unit","-","-","11480.0","% ","-","-"
"OCC(=O)N1CCN(CC2=CC=NC(NC3=NC=C(S3)C#N)=C2)CC1","1.68","Log unit","-","-","4786.0","% ","-","-"
"CS(=O)(=O)C1CCN(CC2=CC=NC(NC3=NC=C(S3)C#N)=C2)CC1","2.06","Log unit","-","-","11480.0","% ","-","-"
"CNC(=O)N1CCN(CC2=CC=NC(NC3=NC=C(S3)C#N)=C2C)CC1","3.27","Log unit","-","-","186200.0","% ","-","-"
"CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=C2C=CC(Cl)=C3)=C1","3.01","Log unit","-","-","102300.0","% ","-","-"
"CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC=CC=C1","0.96","Log unit","-","-","912.0","% ","-","-"
"CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC=C(O)C=C1","1.14","Log unit","-","-","1380.0","% ","-","-"
"CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC=C(F)C=C1","0.7","Log unit","-","-","501.2","% ","-","-"
"CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC=C(OC(C)=O)C=C1","1.67","Log unit","-","-","4677.0","% ","-","-"
"CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC(=CC=C1)N(=O)=O","1.32","Log unit","-","-","2089.0","% ","-","-"
"CCOC(=O)C1=CN=C2N(C)N=C(C)C2=C1NC1=CC(Cl)=CC=C1","2.27","Log unit","-","-","18620.0","% ","-","-"
"CCOC(=O)C1=C(NC2=CC=C(O)C=C2)C2=C(N=C1)N(N=C2C)C1=CC=CC=C1","1.69","Log unit","-","-","4898.0","% ","-","-"
"CCOC(=O)C1=CN=C2N(N=C(C2=C1NC1=CC=C(O)C=C1)C1=CC=CC=C1)C1=CC=CC=C1","3.09","Log unit","-","-","123000.0","% ","-","-"
"CCOC(=O)C1=CN=C2N(N=C(C)C2=C1NC1=CC(CN(CC)CC)=C(O)C=C1)C1=CC=CC=C1","2.05","Log unit","-","-","11220.0","% ","-","-"
"CCOC(=O)C1=CN=C2N(N=C(C2=C1NC1=CC(CN(CC)CC)=C(O)C=C1)C1=CC=CC=C1)C1=CC=CC=C1","3.45","Log unit","-","-","281800.0","% ","-","-"
"OCC(=O)C1CCCN1C(=O)C1CCCN1C(=O)NC1=CC=CC=C1","0.2","Log unit","-","-","158.5","% ","-","-"
"OCC(=O)C1CCCN1C(=O)C1CCC=C1C(=O)NCC1=CC=CC=C1","0.6","Log unit","-","-","398.1","% ","-","-"
"O=C(CCCC1=CC=CC=C1)N1CCCC1C(=O)N1CCCC1C#N","1.6","Log unit","-","-","3981.0","% ","-","-"
"O=C(CCCC1=CC=CC=C1)N1CCCC1C(=O)N1CCCC1","1.8","Log unit","-","-","6310.0","% ","-","-"
"O=C(CCCC1=CC=CC=C1)C1=CCCC1C(=O)N1CCCC1C#N","2.4","Log unit","-","-","25120.0","% ","-","-"
"CCCCCOC(=O)CCCNC(=O)NC1CCCCC1","0.82","Log unit","-","-","660.7","% ","-","-"
"CCCCCOC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2","0.44","Log unit","-","-","275.4","% ","-","-"
"CCCCCCCCCCNC(=O)NC1CCCCC1","5.44","Log unit","-","-","2.754E7","% ","-","-"
"CCCCCCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2","5.25","Log unit","-","-","1.778E7","% ","-","-"
"OC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2","0.14","Log unit","-","-","138.0","% ","-","-"
"COC(=O)CCCNC(=O)NC12CC3CC(CC(C3)C1)C2","0.18","Log unit","-","-","151.4","% ","-","-"
"CN1C(C(Br)C(Cl)=C1Cl)C1=C(Br)C(Br)=C(Cl)N1C","6.5","Log unit","-","-","3.162E8","% ","-","-"
"CN1C(Cl)=C(Br)C(Br)=C1C1=C(Br)C(Br)=C(Cl)N1C","6.5","Log unit","-","-","3.162E8","% ","-","-"
"CN1C(Cl)=C(Br)C(Br)=C1C1=C(Br)C(Br)=C(Br)N1C","6.6","Log unit","-","-","3.981E8","% ","-","-"
"CN1C(Br)=C(Br)C(Br)=C1C1=C(Br)C(Br)=C(Br)N1C","6.7","Log unit","-","-","5.012E8","% ","-","-"
"NC1=CC=C(C=C1)C1=NC2=CC=CC=C2S1","2.0","Log unit","-","-","10000.0","% ","-","-"
"CC1=CC2=C(C=C1)N=C(S2)C1=CC=C(N)C=C1","2.4","Log unit","-","-","25120.0","% ","-","-"
"COC1=CC2=C(C=C1)N=C(S2)C1=CC=C(N)C=C1","1.9","Log unit","-","-","7943.0","% ","-","-"
"NC1=CC=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2","0.66","Log unit","-","-","457.1","% ","-","-"
"NC1=CC=C(C=C1)C1=NC2=C(S1)C=C(C=C2)C#N","1.8","Log unit","-","-","6310.0","% ","-","-"
"NC1=CC=C(C=C1)C1=NC2=C(S1)C=C(Br)C=C2","2.9","Log unit","-","-","79430.0","% ","-","-"
"CNC1=CC=C(C=C1)C1=NC2=CC=C(C)C=C2S1","3.1","Log unit","-","-","125900.0","% ","-","-"
"CNC1=CC=C(C=C1)C1=NC2=C(S1)C=C(OC)C=C2","2.6","Log unit","-","-","39810.0","% ","-","-"
"CNC1=CC=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2","1.2","Log unit","-","-","1585.0","% ","-","-"
"CNC1=CC=C(C=C1)C1=NC2=C(S1)C=C(C=C2)C#N","2.5","Log unit","-","-","31620.0","% ","-","-"
"CNC1=CC=C(C=C1)C1=NC2=C(S1)C=C(Br)C=C2","3.6","Log unit","-","-","398100.0","% ","-","-"
"CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=CC=C2","3.4","Log unit","-","-","251200.0","% ","-","-"
"CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=C(C)C=C2","3.8","Log unit","-","-","631000.0","% ","-","-"
"COC1=CC2=C(C=C1)N=C(S2)C1=CC=C(C=C1)N(C)C","3.3","Log unit","-","-","199500.0","% ","-","-"
"CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=C(O)C=C2","2.0","Log unit","-","-","10000.0","% ","-","-"
"CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=C(C=C2)C#N","3.2","Log unit","-","-","158500.0","% ","-","-"
"CN(C)C1=CC=C(C=C1)C1=NC2=C(S1)C=C(Br)C=C2","4.4","Log unit","-","-","2512000.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCCCCOCCC2=CC=CC=C2)C=C1","2.73","Log unit","-","-","53700.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCCCC(=O)NCCC2=CC=CC=C2)C=C1","1.29","Log unit","-","-","1950.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCCCCNC(=O)NC2=CC=CC=C2)C=C1","1.26","Log unit","-","-","1820.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCCCCS(=O)(=O)CCC2=CC=CC=C2)C=C1","1.44","Log unit","-","-","2754.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCSCCOCCC2=CC=CC=C2)C=C1","2.31","Log unit","-","-","20420.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCCCCNCC(F)(F)C2=CC=CC=C2)C=C1","1.57","Log unit","-","-","3715.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCCC2=CC=CC=C2)C=C1","1.37","Log unit","-","-","2344.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCOCCOCCC2=CC=CC=C2)C=C1","1.19","Log unit","-","-","1549.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCOCCCOCCC2=CC=CC=C2)C=C1","2.06","Log unit","-","-","11480.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCNC(=O)CCOCCC2=CC=CC=C2)C=C1","1.34","Log unit","-","-","2188.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1","2.51","Log unit","-","-","32360.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCNCCCOCCC2=CC=CC=C2)C=C1","0.88","Log unit","-","-","758.6","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCC(F)(F)CCCOCCC2=CC=CC=C2)C=C1","3.26","Log unit","-","-","182000.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCC2=CC=CC=C2)C=C1","2.86","Log unit","-","-","72440.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCNS(=O)(=O)CCOCCC2=CC=CC=C2)C=C1","1.56","Log unit","-","-","3631.0","% ","-","-"
"CC(C)(CNCCC1=C2SC(=O)NC2=C(O)C=C1)CSCCOCCC1=C(N)C=CC=C1","3.44","Log unit","-","-","275400.0","% ","-","-"
"NC1=C(CCOCCS(=O)(=O)CCCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=CC=C1","1.17","Log unit","-","-","1479.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCNC(=O)CCCOCCC2=CC=CC=C2)C=C1","1.55","Log unit","-","-","3548.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCCC2=CC=CC=C2N(=O)=O)C=C1","1.37","Log unit","-","-","2344.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCNCCOC2=CC=CC=C2)C=C1","0.9","Log unit","-","-","794.3","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCSCCOCC2=CC=CC=N2)C=C1","0.83","Log unit","-","-","676.1","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=NC=CS2)C=C1","2.35","Log unit","-","-","22390.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(F)C=C2)C=C1","2.67","Log unit","-","-","46770.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCNC(=O)CCOCCCC2=CC=CC=C2)C=C1","1.91","Log unit","-","-","8128.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1","1.65","Log unit","-","-","4467.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCC2=CC=C(C=C2)N(=O)=O)C=C1","3.29","Log unit","-","-","195000.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(C=C2)N(=O)=O)C=C1","2.32","Log unit","-","-","20890.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCC2=CC=CC=N2)C=C1","1.75","Log unit","-","-","5623.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCCC2=C3C=CC=CC3=CC=C2)C=C1","2.54","Log unit","-","-","34670.0","% ","-","-"
"CN(CCNCCC1=C2SC(=O)NC2=C(O)C=C1)C(=O)CCOCCC1=CC=CC=C1","1.52","Log unit","-","-","3311.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCSCCOCCOC2=CC=CC=C2)C=C1","2.11","Log unit","-","-","12880.0","% ","-","-"
"OC1=CC=C(CCNCCCS(=O)(=O)CCOCCOC2=CC=CC=C2)C2=C1NC(=O)S2","1.13","Log unit","-","-","1349.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=CC=N2)C=C1","0.95","Log unit","-","-","891.3","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(Br)C=C2)C=C1","3.36","Log unit","-","-","229100.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCC2=CC=C(NS(=O)(=O)C3=CC=CC=C3)C=C2)C=C1","3.52","Log unit","-","-","331100.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)NCCOCCC2=CC=CC=C2)C=C1","2.38","Log unit","-","-","23990.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCSCCOCCCC2=CC=CC=C2)C=C1","2.8","Log unit","-","-","63100.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCSCCCOCCCC2=CC=CC=C2)C=C1","3.61","Log unit","-","-","407400.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)CCOCCC2=CC=CC=C2)C=C1","1.12","Log unit","-","-","1318.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCCCC2=CC=CC=C2)C=C1","2.1","Log unit","-","-","12590.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCOCCSCCC2=CC=CC=C2)C=C1","1.73","Log unit","-","-","5370.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(NS(=O)(=O)C3=CC=CC=C3)C=C2)C=C1","2.88","Log unit","-","-","75860.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCCCC2=CC=CC=C2)C=C1","3.62","Log unit","-","-","416900.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCCC2=CC=CC=C2)C=C1","3.13","Log unit","-","-","134900.0","% ","-","-"
"OC1=CC=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=C1","1.91","Log unit","-","-","8128.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCSCCC2=CC=CC=C2)C=C1","2.34","Log unit","-","-","21880.0","% ","-","-"
"NC(=O)C1=CC=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=C1","1.1","Log unit","-","-","1259.0","% ","-","-"
"CC1=CN=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)S1","2.87","Log unit","-","-","74130.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCNS(=O)(=O)CCOCCC2=CC=CC=C2)C=C1","1.22","Log unit","-","-","1660.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCOCC2=CC=CC=C2)C=C1","1.11","Log unit","-","-","1288.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCOCCC2=CC=CC=C2)C=C1","1.46","Log unit","-","-","2884.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCNS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1","1.83","Log unit","-","-","6761.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1","1.34","Log unit","-","-","2188.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCC2=CC=CC=C2)C=C1","1.15","Log unit","-","-","1413.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=C3C=CC=CC3=CC=N2)C=C1","2.35","Log unit","-","-","22390.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCNS(=O)(=O)CCOCCCC2=CC=CC=C2)C=C1","2.22","Log unit","-","-","16600.0","% ","-","-"
"CSC1=CC(CCOCCS(=O)(=O)CCCNCCC2=C3SC(=O)NC3=C(O)C=C2)=CC=C1","1.63","Log unit","-","-","4266.0","% ","-","-"
"CN(CCCNCCC1=C2SC(=O)NC2=C(O)C=C1)S(=O)(=O)CCOCCC1=CC=CC=C1","1.24","Log unit","-","-","1738.0","% ","-","-"
"CC1=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)SC=N1","1.44","Log unit","-","-","2754.0","% ","-","-"
"OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCNC2=CC=CC=C2)C=C1","1.98","Log unit","-","-","9550.0","% ","-","-"
"CC1=CC=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)N=C1","1.56","Log unit","-","-","3631.0","% ","-","-"
"CS(=O)(=O)NC1=CC=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=C1","1.34","Log unit","-","-","2188.0","% ","-","-"
