ID,SMILES,LogP
34,C1=C(C=CC(OC=2C=C(C(C3(CN4N=CN=C4)OC(C)CO3)=CC=2)Cl)=C1)Cl.C5=CC=C(Cl)C(Cl)=C5C6=CC(=C(C(Cl)=C6Cl)Cl)Cl,10.472
35,C1([N+]([O-])=O)=C(O)C=C(C)C(=C1)Cl,4.437
36,CC(C)=CC,3.684
37,CC(C)C(=O)NCCNCC(COCCCC=1C=CC=CC=1)O,2.427
38,FC(F)(F)C=1C=C2C(=CCCN3CCN(CC3)CCO)C=4C(SC2=CC=1)=CC=CC=4,5.935
39,FC(F)SC1=NC(NC(=NCCCCC)N1)=NC,5.867
40,O=S(=O)(NCCNCCC1=C2C(=C(O)C=C1)NC(=O)S2)CCOCCCC=3C=CC=CC=3,3.071
41,C=1C=CC=2C(=O)N(CC)C(=O)C(=O)C=2C=1C(NCC)=O,1.703
42,CC(C)=NO,1.729
43,CC(C)(C)C1=CC=C(C=C1)N,4.174
44,C=1(C(NC(=O)N(C=1)C2CCC(CO)O2)=O)Cl,0.47
45,O=S(=O)(N(CC(=O)OC)C1=CC=CC=C1)C2=CC=C(C=C2)OC,4.957
46,O=C(O)C1=CC(Cl)=CC=C1N,2.622
47,C=1C(Cl)=C(OCC#C)C(Cl)=CC=1N=CNOC(CC)C,5.585
48,C1CN1C=2C(=O)C(=C(C(=O)C=2OC)N3CC3)OC,1.708
49,C1=2C(C(C)=C(N1)C(OCC)=O)=C(C(=CC=2)CO)Cl,5.865
50,C=1C=CC2=CC3=CC=4C(C=C3C=C2C=1)=CC=CC=4,7.61
51,CC(CCC(CCC)C)=O,4.63
52,C=12N=C(N(C(C=1C=3CCCC=3S2)=O)CC=4C=CC=CC=4)SCC(=O)C=5C(=O)N(C(=O)N(C)C=5N)C,1.254
53,CN(C)C(=O)CCC=1OC=CC=1,1.914
54,FC(F)(F)C1=CC=CC=C1,4.132
55,O=S(=O)(N)NC(CC1=CC=CC=C1)=O,1.939
56,C1=CN=C(N1C2C(C(O)C(O)C(CO)S2)O)[N+](=O)[O-],1.037
57,C=1C(=CC=C(CC(C)(C(O)=O)N)C=1)O,-2.062
58,O=C1C=CC=CN1C,1.346
59,N1C(C2=C(C)C(=CC=C2NC1=N)CNC=3C=C(C(OC)=C(OC)C=3)OC)=N,3.41
60,NC1=CC=CC2=C1N=C3C=CC=CC3=C2,3.556
61,C=12C=CC=CC=1C(NC3=CC=CC=C3)=CC=C2,5.591
62,C1=C(F)C(=O)N(OC=2C=CC=CC=2)C(=O)N1,2.253
63,C=1C2=NN(N=C2C=CC=1)CCCOC(CC)=O,3.568
64,N(C(C)=O)(CCOC(C=1C(OC(C)=O)=CC=CC=1)=O)C,3.108
65,C(C(OCCOC1=CC=C(C=O)C=C1OC)=O)=CC2=CC=CC=C2OC,4.968
66,O=[N+](C=CC=1C=COC=1)[O-],2.856
67,FC(F)(F)C1=CC=CC=C1C(=O)NC2=CC(=CC=C2)OC(C)C,5.123
68,C=1C(F)=C(C2C3=CC=4OCCOC=4C=C3NC(=O)C2)C(Cl)=CC=1,4.615
69,ClC(CC)C,1.645
70,C(C)(=O)C(C(C)=O)=CC=1C=CC(Cl)=CC=1,3.564
71,C1CN(CCN1C=2C(OCC)=CC=CC=2)CC3CN=C(O3)N,2.226
72,C=1C=CC=C2N(C(=O)C=NC=12)C,2.185
73,CC1(C)C(N2C(=O)C(C2S1)NC(=O)C(C(O)=O)C3=CC=CC=C3)C(O)=O,2.82
74,O=S(=O)(C1=CC=C(S(=O)(=O)CCNCC(C)C)C=C1)N,2.078
75,C(CCC)C(CCCC)C(=O)O,4.526
76,C(C)(=O)C(C(OCC)=O)=CC=1C=CC=CC=1,3.594
77,O=S(=O)(CCOCCC1=CC=CC(SC)=C1)CCCNCCC2=C3C(=C(O)C=C2)NC(=O)S3,2.925
78,[N+]([O-])(=O)C1=CC=C(C=C1)C2NCCS2,2.751
79,CC(C)(C)C(OC(N1C=NC=C1)=S)COC=2C=CC(=CC=2)C(=O)OCC,6.117
80,C=1C(Cl)=C(C(Cl)=CC=1)OC2=CC=C(Cl)C(Cl)=C2Cl,7.606
81,C(=O)(N)OCCCCCCC,3.732
82,CN(C)S(=O)(=O)C1=CC=C(C=C1)N(C(C)=O)C,1.815
83,FC(F)C(NC1=CC=C(C(Cl)=C1)Cl)=O,4.721
84,CN(C)CCOC(C=1C=CC(=CC=1)NC)=O,2.98
85,C1CN(CCO1)C,0.939
86,CN(C)CCOC(C=1C=CC(=CC=1)NCCCC)=O,4.96
87,C=1C(Cl)=CC=C(Cl)C=1N,4.342
88,O=S(=O)(N)C=1C([N+](=O)[O-])=CC=CC=1,1.711
89,C1=C(CC2=CC(OCC)=CC(=C2)OCC)C(=N)NC(=N)N1,3.944
90,C1CCCN1C(=O)OC2=CC=C(Cl)C=C2Cl,5.216
91,[N+]([O-])(C=1C=C2N=NNC2=CC=1)=O,3.447
92,C=1(Br)C=CC(Br)=CC=1,5.944
93,O=C(O)C=1C(N)=CC([N+]([O-])=O)=CC=1,2.766
94,OC(CCCC)CCC,4.34
95,C1CN1P(N2CC2)(=O)N(C)N=CC3=CC=C(C=C3)[N+](=O)[O-],1.881
96,CC(C)(C)C,4.635
97,C1=CC(=CC=C1Cl)C=2C(=C(SC=2C(=O)C)S(=O)C)C#N,4.993
98,C1=C(C=CC(=C1)NC(=O)C)C(=O)N,1.15
99,C1(=O)C(NC(C(O)C=2C=CC=CC=2)=O)C3N1C(C(=COC(C)=O)CS3)C(=O)O,2.295
100,CC(C)C1=CC=C(C=C1)C(=O)C.C=2C(NC=CC=2)=NC(=O)C,4.757
101,C(C)N(CC)CC(NC1=C(C=C(C)C=C1C)C)=O,4.132
102,O=CC12C3CCC4(C(C=5CC(OC=5)=O)CCC4(O)C3CCC2(CC(CC1)OC6OC(C)C(O)C(O)C6O)O)C,1.376
103,N1=C(N(C(NC)=O)C)SC2=CC=CC=C12,4.364
104,C1CC(CCC1)NC(NC2CCCCC2)=S,5.208
105,COC(C1=CN(CCCCCCCCCCCC)C(=O)C1)O,5.098
106,C=1(C=CC=C(C(NN)=O)C=1)[N+](=O)[O-],1.784
107,C1CCCCC12C(=O)N(C(NC2=O)=O)=C,3.236
108,CC(C)C1(O)CC=C(C)CC1,5.08
109,FC(F)C=1N=C(SCC(=O)NCC=C)C(C#N)=C(C=1)C=2C(=NN(C)C=2)C,5.178
110,FC(F)(F)C1=NN=C(SC(C(C)C)C(NC(N)=O)=O)N1C,3.646
111,C(CO)N(CCO)CCCNC(=O)C=C,0.294
112,C1CC(CCC1)C(O)=O,3.669
113,C(=O)(C)NC1=CC(=CC=C1=C)OC,3.839
114,Cc1cc(cc(C)c1Cl)-c2c(-c3ccc(cc3)F)n(c(n2)C(C)C)C=CC(CC(O)CC(O)=O)O,1.93
115,ClC=1C(Cl)=CC=C(OC2=C(C(=CC=C2)Cl)Cl)C=1Cl,8.222
116,CC(C)S(=O)(=O)CCN1C([N+](=O)[O-])=CN=C1C,1.515
117,[N+]([O-])(=O)C1=CC=C(OCCN2CCCC2=O)C=C1,2.692
118,ClC1(Cl)C2(C3C(C(=C(Cl)C3C1(Cl)C(C2Cl)Cl)Cl)Cl)Cl,7.52
119,C=C(N1C=CN=C1)C2=CC=CC=C2OCC=C,4.456
120,C=1(Cl)C=CC(=C(C=1OC)C(=O)NC=2C(=CC(C)=CC=2)C)Cl,5.924
121,C=1C=C(NC=2C(=C3C(=COC(=O)N)C4(N(C3=C(C=2C)O)CC5C4N5)OC)O)C=NC=1OC,1.852
122,O(CCC)C=1C=NNC=1,2.947
123,N1C(N(C2CC(N=[N+]=[N-])C(CO)O2)C=C(C)C1=S)=O,-0.115
124,C(=O)(C)NC(C(=O)N)C,0.153
125,N1=C2C(=NN1C(C)(C)C(=O)N)C=CC=C2,2.682
126,C1CCN(C1)C(C2N(C(=O)CCCC=3C=CC=CC=3)CCC2)=O,2.998
127,CN(C)CCCC=1C=CC=CC=1,4.384
128,CC1(C)CC(=O)C=C(C1)C,3.353
129,N=C1NC(=N)N=C(N1)C2=CC=C(C)C=C2,3.723
130,O=S(=O)(C1=NN2C(=NC3=CC=C(C=C3)OC)SN=C2S1)N,4.073
131,CC1(C)CC(C2C(C=3C=C(Cl)C=CC=3)C(C#N)C(N(C=4C(=CC=CC=4F)F)C2=C1)=N)=O,6.226
132,C1(Cl)=C(C=2C(=C(Cl)C(=C(Cl)C=2)Cl)Cl)C=C(Cl)C(Cl)=C1Cl,4.768
133,CC1=CC=C(C=C1)CC,4.97
134,C=1(C=CC=CC=1)C(C=2C=CC=CC=2)N=C=S,6.27
135,C=1C=CC(N2C(=O)CN(C2=O)C)=CC=1,1.284
136,C(CCC(=O)OCC)O,3.123
137,CC(C)OCC(CN1C=CN=C1[N+](=O)[O-])O,2.049
138,C=1C=C(CC)N(C=1CC)N=C2C=CC(=NN2)N3CCOCC3,3.988
139,O=S(=O)(N)C=1C=CC(=CC=1)C(=O)OCCC,3.109
140,FC(F)(F)S(=O)(=O)NC1=CC=CC=C1,2.162
141,C1(Cl)=C(Cl)C(=CC=C1)OC,4.707
142,FC(F)(F)C1(C(F)(F)F)C=C(N(C(C1C#N)=N)C2=CC=C(C=C2)C(N)=O)C,5.999
143,C1CN(CCN1CCCN=C2C=3N(C=CC=3)C4=NC=CC=C4N2)CCCN=C5C=6N(C=CC=6)C7=NC=CC=C7N5,6.344
144,C=1C=C(C=CC=1C(=O)CCCC(=O)O)OC,0.245
145,O=C(CC(C1=CC=C(C=C1)Cl)CN)OC,2.308
146,CC(N(C=1C(C)=CC=CC=1C)C(C2=CC=CO2)=O)C(OC)=O,3.555
147,CC1(C)N(C=2C=C([N+](=O)[O-])C=CC=2)C(=NC(=N1)N)N,1.144
148,C1=C(C2=C(C=CC=N2)C(CC(=O)OCC)=C1)O,3.838
149,C(C)CN(N=O)C(N)=O,1.311
150,C1(OC2CC(O)C(C(C)O2)O)C(CC(OC1C)OC3CC4C(C)(C5C(CC4)C6(C(C(C=7CC(OC=7)=O)CC6)(CC5)C)O)CC3)O,1.853
151,C1N=C(N(C)C1C)N=C2NC=C([N+](=O)[O-])S2,3.527
152,OC(=O)C(C1=CC=C(C=C1)C=2SC=C(C(=O)C)N=2)C,2.974
153,C1(=CC=C2C(=O)C(C3=CC=C(C=C3)Cl)=C(C)OC2=C1)OCC(=O)OCC=C,6.565
154,C=1C=CC=C(C=1C(=O)NC=2C=CC(=CC=2)Cl)O,5.912
155,CC(C)C1OC(C=2C1=CC=CC=2)=O,3.776
156,C(#C)COC=1C(=CC(=CC=1F)N=CNOCOC)OCC#C,3.316
157,C(COC)OC,2.004
158,N(C(N=S)CC,2.842
159,O=S(=O)(N)C=1C=CC(OCCCCCC)=CC=1,4.426
160,C1(C)C2C34OOC(CCC3C(C)CC2)(OC4OC1=O)C,4.675
161,C=1C=CC(NC(NN)=O)=CC=1,1.061
162,C1=CC2(C3C(CC4(C)CmO)(C(=O)CO)CCC4C3CCC2=CC1=O)=O)C,4.656
163,CC(C)C(C(=O)O)NC(=O)C(C(C(C)C)#C)NC(C(C)N)=O,3.245
164,CC(C)(C)C=1C=CC(O)=CC=1,5.004
165,CC(C)C1OC(C=2C1=CC=CC=2)=O,3.062
166,N(C1=CC=CC(F)=C1)C(C)=O,3.118
167,CCCOC(=O)C(C(OCCC)=O)=C1SC=CS1,5.014
168,OCCN1C=CN=C1[N+]([O-])=O,0.986
169,CN(C)C=CC#N,1.884
170,C1CN=C(N1)NC=2C(=CC=C(Cl)C=2)Cl,4.01
171,OC(O)C=1OC=2C(=CC(=CC=2)Cl)C(C=1)=O,2.961
172,C=1C=C(CC2=CNC(=N)NC2=N)C=CC=1N,1.136
173,O=C(OCCCC)CC(C1=CC=C(C=C1)Cl)CN,2.73
174,C=1(N=C(SN=1)C=NO)C,2.713
175,C1(=CC=CC=C1)C(=O)NCNCC,2.832
176,CC(C)(C)C(=O)OCOC(=O)C1=C(CSC2C(OC)(NC(CSC(F)F)=O)C(=O)N12)CSC=3N(N=NN=3)C,2.125
177,C1CN1C2=C(O)C(=C(C(O)=C2C=C)N3CC3)C,2.701
178,C1=CC=C2N=C(C3=CC=CC=C3)NC(=O)C2=C1,3.936
179,C1(OCC2OC(N)=NC2)=CC=C(C)C=C1,3.675
180,N(=CC=1C=CC=CC=1)NC(NN)=O,2.192
181,C1CCC(C1)C(N)C(O)=O,-0.101
182,O=C(O)C1=CC=C(Br)C=C1,4.336
183,C1C=C2C(C)(C1=O)C(C3C(OC(=O)C3=C)CC2C)OC(=O)CC(=O)OC4C5(C)C(CC=C5C(C)CC6C4C(=C)C(=O)O6)=O,3.077
184,N1C(=N)NC(C(CC2=CC(OC)=C(C(OC)=C2)N)=C1)=N,3.128
185,C(ON=C1C(C)SCS1)(=O)NC,2.526
186,C1(=CC=C(C=C1)Cl)OC(CC)(C)C(O)=O,4.412
187,O=C(OC)C1=CC=C(C)C(NC(CC=2C3=C(C=C4C(CCC4)=C3)OC=2)=O)=C1,6.161
188,C(C)(NC(C=CC=1C(NC(NC=1C)=O)=O)=O)CS(CSCC)=O,0.944
189,C1=C(CCC(C(C)=C)C1)C,6.289
190,O=S(=O)([O-])CCCC[N+](C)(C)CCCC1=CC=CC=C1,-0.271
191,N=C1NC(C=2C(=C(CNC=3C=CC(Cl)=CC=3)C=NC=2N1)C)=N,3.708
192,C=1C=2C(C(OC(=O)C(CC)C)CC(C)C=2)C(CCC3OC(=O)CC(O)C3)C(C)C=1,5.899
193,O(CCOCCO)CCCCCC,1.838
194,ClC1C(Cl)C(C(C(Cl)C1I)Cl)Cl,5.354
195,O1C=2C=CC=C(Cl)C=2OC3=CC=CC=C13,6.365
196,C=1C(Br)=CC=C2C=1CC=3C2=CC=C(C=3)N,5.479
197,C1C(=O)N(C(=O)N1)C=2C=CC=CC=2,1.952
198,N(C=1C=CC=CC=1)C(NC(C2=CC=CC=C2)=O)=O,4.967
199,ClC(Cl)=CP(OC)(OC)=O,2.938
200,C1=C(SC(CC2=CC=C(C=C2)O)=N1)C,3.976
201,C1CCCCC1OC(=O)N(C)SN(C(ON=C(C)SC)=O)C,5.168
202,O=S(=O)(C=1C=CC=C(C=1)C(C)C)N,3.21
203,C1=NOC=C1,1.492
204,O(C)C1N(C2CC(C(O2)CO)F)C(=O)NC(C1(I)C)=O,2.008
205,C(C1=C(SC(C#N)=C1)S(CC)=O)#N,3.108
206,O1CCOC2=CC=CC=C2OCCOCCOCCOCCOCCOCCOCCOC3=CC=CC=C13,3.489
207,C=1C=CC=C2C=1SC3=CC=CC=C3O2,5.832
208,O=S(=O)(C1=CC=C(C)C=C1)CC(C=2C=CC(C)=CC=2)=O,4.707
209,C1=CC(C=CN1C)=O,-0.552
210,CNCC(CC)C=1C=CC=CC=1,4.645
211,C1=NC=2C(NC(=NC3=CC=CC=C3)NC=2N1CCCCO)=O,2.736
212,OC(=O)C(CC(=O)N)N,-3.933
213,N1(C2=CC=CC=C2N=N1)CCO,1.603
214,C1(=CC=C(Cl)C=C1Cl)CC=2C=C(C)C(Cl)=CC=2Cl,8.789
215,C(CCCl)O,2.463
216,C(C)N(CC)CCCCCC(NC=1C(C)=CC=CC=1C)=O,4.451
217,ClC(Cl)(Cl)C1=NC(=NC=2C=CC(=CC=2)Cl)N=C(SC)N1,6.694
218,O=S(=O)(CCCNCCC1=C2C(=C(O)C=C1)NC(=O)S2)CCOCCCC=3C=CC=CC=3.C4(=CC=C(C(C(=O)O)C)C=C4OC)C5=NC=CS5,5.722
219,C(C=1C=C(I)C(O)=C(C=1)I)#N,4.753
220,C1(N(COCC=CC)C(=O)CCl)=C(CC)C=CC=C1CC,5.06
221,C12CC3(CC(C1)CC(C3)C2)N4C=CN=C4,4.408
222,N1=C(C(=NC=C1)C2=C(#C)C=C(C)C=C2)C=3C=CC(C)=CC=3,7.106
223,[O-]C(=O)C(NC(CN)=O)CC1=CC=CC=C1,0.87
224,C1CN1P(N2CC2)(=O)NC(C3=CC=C(Cl)C=C3)=O,2.741
225,C1(=CC=CN=C1)C(NC=2C=CC(C)=CC=2)=O,3.468
226,C=1(CCCC)C=CC(=CC=1)CC(O)=O,4.744
227,O=S(=O)(C=1C(=CC(C)=CC=1C)C)C2=CC=C(N)C=C2,4.662
228,c1cc(ccc1)-c2ccc(cc2)C(=O)O,-0.15
229,c1ccccc1N=C2N=C(N(C)CCO)NC(=Nc3ccc(C=Cc4ccc(N=C5NC(=Nc6ccccc6)NC(N(CCO)C)=N5)cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)N2,1.577
230,C1=CC=CC2=C(C)C=C(C)C=C12,5.6
231,C1(=CC=CC=C1)C(=O)NOCC(=O)O,1.287
232,C12CCC3=CC(CCC3(C)C1CCC4(C(CCC24)(C(=O)CO)O)C)=O,4.562
233,C1=C(F)C(=CC=C1F)F,3.454
234,CCC1=CC=CC=C1CC,5.567
235,N#CCCCCC,3.687
236,C=1C=CC=C2C=3C(CC=12)=CC=4C=CC=CC=4C=3,7.119
237,C(CC)CC[N+]([O-])=O,6.852
238,C(CCCCCCCC1=CC=CC=C1O)CCC,8.43
239,CC(C)OC=1C=C2C(=CC=1)C(C)=CC(=O)O2,5.162
240,C=1(N2C(SCC=1CSC3=NN=NN3C)C(NC(C(C4=CC=C(C=C4)O)NC(=O)N5CCN(CC)C(C5=O)=O)=O)C2=O)C(O)=O,-0.4
241,C(=[N-])=N[N+](=O)C1=CC=C(Br)C=C1,3.349
242,C1(C)=CC=C(C(CC)=C1)C,5.741
243,C=C1=C(O)C(=CC=C1)C(C)=O,4.875
244,C1CCCCC1(C(O)=O)N,-0.031
245,O=C(O)C1=CC=C(C=C1O)NC(=O)C,3.143
246,N(C1=CC=CC(C#N)=C1)C(C)=O,6.086
247,C1CCCN1C2=CC(=O)C(=CC2=O)N3CCCC3,3.617
248,CC1(C)N=C(N=C(N1C=2C=CC(N)=CC=2)N)N,1.26
249,C#CCN(CC#C)CC#C,3.075
250,CC(C)c1cc2c(c(CCCCC)cc2S(=O)(=O)O)ccc1,-6.943
251,O=S(=O)(C1=NC2=CC=C(O)C=C2S1)N,2.368
252,C(C(CN1C2CCOCC12)O)N3C=NC=C3,1.402
253,CC(C)C(NC(C(NC(=O)C)C(C)C)=O)C(=O)N,1.133
254,FC(F)(F)C1=CC=C(OC=2C=C(C(C)=NOCC(=O)O)C([N+]([O-])=O)=CC=2)C(=C1)Cl,5.663
255,C=1C=C(C(OC(C)=O)=CC=1)C(=O)OCSC,3.536
256,C(CC)(Br)C(=O)O,2.807
257,FC(F)(F)C=1C=CC(C(=O)O)=CC=1,5.175
258,C1=2N3C=CC=C3C(NC1=CC=C(OC)C=2)=NCCCN(CCCN=C4NC=5C(N6C=CC=C46)=CC(OC)=CC=5)C,5.373
259,O=S(=O)(C1=CC=C(C=C1)N)N=C2C=C(N=C(C)N2)OC,2.086
260,CC(C)OC(=O)C(N(C(=O)C1=CC=CC=C1)C=2C=C(C(F)=CC=2)Cl)C,5.37
261,C1=C(C2=C(C3=C(C(=C(C=C3Cl)Cl)Cl)O2)C=C1)Cl,7.766
262,N1C(=NCC)NC(=NC1=N)Cl,2.066
263,C12=CC(=CC=C1C(O)=C3C=CC=CC3=C2O)C=C,8.02
264,CC(C)(C)N(C(=O)C=1C(Cl)=CC=CC=1)NC(=O)C=2C=C(C=CC=2)Cl,4.882
265,C1COCCN1CCN2C=C(N=C2)[N+]([O-])=O,1.131
266,O=C1C=2C(C(=O)N1C3CCC(NC3=O)=O)=CC=CC=2,1.817
267,C(N(CC(CO)O)C=1C(=C(C(NCCO)=O)C(I)=C(C(=O)NCCO)C=1I)I)(=O)C,-2.206
268,O=C(C1=CC=C(NC(CC2=CC=CC=C2)=O)C=C1)C,3.629
269,N1C(=N)NC=C(CC=2C=C(OC)C(=CC=2)OC)C1=N,2.356
270,O=C(C1=CC=CC=C1)C,2.666
271,C1(=O)N(C(C)CC)C(C(Br)=C(N1)C)=O,4.16
272,COP(OC)(=S)OC1=CC=C(C=C1)C#N,3.929
273,C=1(C=CC=CC=1)N(CC)C(C(C)OC(C=2C=C(C(OC)=C(C=2)OC)OC)=O)=O,5.002
274,C1(CCCO1)N2C=C(C(NC2=O)=O)F,0.973
275,C=1C(N=C=S)=CC=C(C)C=1,5.391
276,C(C)(=C)C=C,3.87
277,ClC1C(Cl)C(C(Cl)C(Cl)C1Cl)OCC,5.271
278,CC(=O)CCCC1=CC=CC=C1,3.965
279,OCC1C(C(C(O1)N2C=CC(NC2=O)=N)O)O,-0.729
280,CC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(C)=O)C(=O)N,1.456
281,O1CCOCCOCCOCCOCCOCCOCCOC=2C(OCCOCC1)=CC=CC=2,1.29
282,CC(C)C1=CC=C(C2CNC(NC(=O)OC)=N2)C=C1,3.83
283,O=S(=O)(N)C=1OC=C(C=1)C(=O)C=2C=CC(OC)=CC=2,2.798
284,C1CCCCN1CCOC(NC=2C=CC=C(COCCCC)C=2)=O,4.766
285,CC(C)(C)C(NN)=O,3.039
286,CCCC(CCC)C(=O)O,3.96
287,C=1C(=CC=C(C=1)OCC(=O)O)I,4.205
288,C(CCCCC)CC(C)=O,4.94
289,C1=CC(C=CC1=C2C(C(OCCSCC)=O)=C(N=C3CC(CC(O)=C23)C4=CC=CS4)C)C(OC)=O,6.574
290,O=C1CCC=C2C1C(C3C(=O)CCC=C3O2)C=4C=CC(OCC=5C(F)=CC=CC=5)=CC=4,6.168
291,NC(CCCNC(N)=N)C(=O)O,-7.883
292,C1CCCN1CCN,1.573
293,C1COC2=CC=CC=C2OCCOCCOCCO1,2.313
294,C1(C2=CC(=CC=C2NC(C=N1)=O)Br)C=3C(=CC=CC=3)Cl,4.623
295,OCC(CNC(C1=C(C(C(=O)NCC(O)CO)=C(C(N(C(=O)CO)CCO)=C1I)I)I)=O)O,1.149
296,C1CC(CCC1)COC=2C(OC)=CC(CC(O)=O)=CC=2,4.972
297,C1=C(Cl)C(OCC(=O)OCC(N2CCCC(C)C2)=O)=CC(Cl)=C1Cl,6.367
298,N#CCONC=NC1=CC(Cl)=C(OCC#C)C(Cl)=C1,4.681
299,[N+]([O-])(=O)C1=CC=C(C(=O)C)C=C1,2.738
300,C1CCCCN1CC2=CC=C(C=C2)C(NC3=C(C)C=CC=C3C)=O,5.14
301,CC(C)CC(C(O)=O)NC(=O)CNC(=O)C(N)CC=1C=CC=CC=1,2.155
302,C(C(=C)C=O)C,2.618
303,C1C=C2C(C)(C1=O)C(C3C(OC(=O)C3=C)CC2C)OC(=O)CC(=O)OC4C5(C)C(CC=C5C(C)CC6C4C(=C)C(=O)O6)=O,2.315
304,C1(=CC(=CC=C1F)C2=CC=CC=C2)NC(=O)N(C)C(NC)=O,5.516
305,C(NC(C(NCC1=CC=CC=C1)=O)CCCCN(C(=O)NCC=C)CCC)(=O)C,3.25
306,C1(=CC=CC=C1Cl)OC2=CC=CC=C2,5.852
307,C1=C(C=CC=C1)C=2C(=NO[N+]=2[O-])C=O,3.956
308,C1=C(N=C(CC#N)S1)C2=CC=C3OCCCOC3=C2,3.863
309,C1(=CC=CC=C1)C(=O)C=CCO)=O,5.014
310,C=1C=C(C(O)=O)C(=CC=1)N,3.01
311,COP(OC)(=O)OC(=CC(N(C)C)=O)C,0.403
312,C(O)(C1=CC=CC(O)=C1)CNC,1.23
313,CC1(C)OC2=CC=C(C)C=C2C(C1O)N3C(=O)CCC3,3.892
314,FC(F)(F)C1=CC=C2C(=C1)C(C3=CC=CC=C3)N=CC(=O)N2,4.324
315,C=1C2(C)C3(C(CC4(C(CC(C4(O)C(COC(C)=O)=O)C)C3CC=C2CC(=O)C=1)C)O)F,4.252
316,C(N=C1NC(=NCC=C)N=C(Cl)N1)C=C,4.631
317,C=1(C(=CC=CC=1)CC)OCC(O)=O,3.169
318,FC(F)(CN1C=NC([N+](=O)[O-])=N1)C(NCCSC)=O,1.945
319,N1C=2C(=CC=CC=2C(C=N1)=N)C,2.611
320,CC1(C)C(N2C(C(NC(C3=C(CO)ON=C3C4=C(C=CC=C4Cl)F)=O)C2=O)S1)C(O)=O,3.309
321,CN(C)C(=O)NC1=CC=CC(F)=C1.C=2C=CC=NC=2C(=NNC(NNC(NC=3C(Cl)=CC=CC=3)=S)=S)C,6.572
322,CN(C)CC(=O)OC1C(C2C3(C=4C=C(C(=CC=4N2C)OC)C5(C(=O)OC)CC6CN(CC(CC)(O)C6)CCC7=C5NC=8C=CC=CC7=8)CCN9CC=CC1(CC)C39)(O)C(OC)=O,0.714
