smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
N=C1NC(C2CCNC(=NCCc3ccccc3)C2)NN1	0.38	-3.04	0.82	1.34			N=c1nc(-c2cc[nH]c(=NCCc3ccccc3)c2)[nH][nH]1
CC(C)C(=O)NCCNCC(O)COCCCc1ccccc1	1.19	-3.53	0.37	1.49			CC(C)C(=O)NCCNCC(O)COCCCc1ccccc1
OCCN1CCN(CCC=C2c3ccccc3Sc4ccc(C(F)(F)F)cc24)CC1	4.56	-5.04	0.38	1.20			OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CCCCCN=C1NC(SC(F)F)NC(=NC)N1	1.98	-3.25	0.78	2.39		logS	CCCCCN=c1[nH]c(SC(F)F)nc(=NC)[nH]1
O=C1Nc2c(O)ccc(CCNCCNS(=O)(=O)CCOCCCc3ccccc3)c2S1	2.01	-4.61	0.68	1.13			O=c1[nH]c2c(O)ccc(CCNCCNS(=O)(=O)CCOCCCc3ccccc3)c2s1
CC(C)=NO	0.31	-0.26	0.34	1.26			CC(C)=NO
CC(C)(C)c1ccc(N)cc1	2.98	-2.41	0.56	1.27			CC(C)(C)c1ccc(N)cc1
O=C1NC(=O)N(C2CCC(CO)O2)CC1Cl	-0.76	-0.66	0.38	1.25			O=c1[nH]c(=O)n(C2CCC(CO)O2)cc1Cl
COC(=O)CN(c1ccccc1)S(=O)(=O)c2ccc(OC)cc2	2.34	-3.89	0.73	1.59			COC(=O)CN(c1ccccc1)S(=O)(=O)c1ccc(OC)cc1
Nc1ccc(Cl)cc1C(=O)O	1.46	-2.14	0.30	1.13			Nc1ccc(Cl)cc1C(=O)O
C#CCOc1c(Cl)cc(N=CNOC(C)CC)cc1Cl	4.00	-4.62	0.80	2.39		logS	C#CCOc1c(Cl)cc(N=CNOC(C)CC)cc1Cl
COC1=C(N2CC2)C(=O)C(OC)=C(N3CC3)C1=O	0.16	-0.75	0.58	0.97			COC1=C(N2CC2)C(=O)C(OC)=C(N2CC2)C1=O
c1ccc2cc3cc4ccccc4cc3cc2c1	5.71	-7.62	0.30	0.64			c1ccc2cc3cc4ccccc4cc3cc2c1
CCCC(C)CCC(C)=O	3.07	-2.61	0.60	0.87			CCCC(C)CCC(C)=O
CN(C)C(=O)CCc1ccco1	0.65	-1.06	0.34	0.71			CN(C)C(=O)CCc1ccco1
FC(F)(F)c1ccccc1	2.91	-1.85	0.36	0.90			FC(F)(F)c1ccccc1
CN1CCCCC1=O	-0.06	0.72	0.41	0.66			Cn1ccccc1=O
COc1cc(NCc2ccc3NC(=N)NC(=N)c3c2C)cc(OC)c1OC	2.67	-3.70	0.77	1.31			COc1cc(NCc2ccc3[nH]c(=N)[nH]c(=N)c3c2C)cc(OC)c1OC
c1ccc(Nc2cccc3ccccc23)cc1	4.57	-4.88	0.30	1.12			c1ccc(Nc2cccc3ccccc23)cc1
O=C1NCC(F)C(=O)N1Oc2ccccc2	0.77	-1.84	0.75	2.39		logS	O=c1[nH]cc(F)c(=O)n1Oc1ccccc1
CCC(=O)OCCCn1nc2ccccc2n1	2.49	-2.40	0.30	0.83			CCC(=O)OCCCn1nc2ccccc2n1
CC(=O)Oc1ccccc1C(=O)OCCN(C)C(C)=O	0.89	-2.63	0.42	1.16			CC(=O)Oc1ccccc1C(=O)OCCN(C)C(C)=O
COc1ccccc1C=CC(=O)OCCOc2ccc(C=O)cc2OC	3.13	-5.13	0.45	1.41			COc1ccccc1C=CC(=O)OCCOc1ccc(C=O)cc1OC
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1	4.32	-5.18	0.56	0.87			CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
O=C1CC(c2c(F)cccc2Cl)c3cc4c(cc3N1)OCCO4	3.42	-4.30	0.71	1.10			O=C1CC(c2c(F)cccc2Cl)c2cc3c(cc2N1)OCCO3
CC(=O)C(=Cc1ccc(Cl)cc1)C(C)=O	2.28	-4.04	0.30	1.31			CC(=O)C(=Cc1ccc(Cl)cc1)C(C)=O
CCOc1ccccc1N2CCN(CC3CN=C(N)O3)CC2	1.47	-2.33	0.33	1.32			CCOc1ccccc1N1CCN(CC2CN=C(N)O2)CC1
CN1C(=O)CNc2ccccc12	0.71	-1.06	0.55	1.03			Cn1c(=O)cnc2ccccc21
CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O	1.13	-2.99	0.63	1.89			CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O
CCCCC(CCCC)C(=O)O	3.49	-2.76	0.30	0.77			CCCCC(CCCC)C(=O)O
CCOC(=O)C(=Cc1ccccc1)C(C)=O	2.38	-3.51	0.42	0.95			CCOC(=O)C(=Cc1ccccc1)C(C)=O
CSc1cccc(CCOCCS(=O)(=O)CCCNCCc2ccc(O)c3NC(=O)Sc23)c1	2.89	-5.37	0.74	1.35			CSc1cccc(CCOCCS(=O)(=O)CCCNCCc2ccc(O)c3[nH]c(=O)sc23)c1
O=N(=O)c1ccc(C2NCCS2)cc1	1.56	-3.14	0.31	1.62			O=[N+]([O-])c1ccc(C2NCCS2)cc1
CCOC(=O)c1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1	4.50	-5.02	0.47	1.14			CCOC(=O)c1ccc(OCC(OC(=S)n2ccnc2)C(C)(C)C)cc1
Clc1ccc(Oc2c(Cl)cccc2Cl)c(Cl)c1Cl	6.39	-7.08	0.30	1.05			Clc1ccc(Oc2c(Cl)cccc2Cl)c(Cl)c1Cl
CCCCCCCOC(N)=O	2.36	-2.36	0.34	0.80			CCCCCCCOC(N)=O
CC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1	0.27	-2.17	0.41	0.90			CC(=O)N(C)c1ccc(S(=O)(=O)N(C)C)cc1
O=C(Nc1ccc(Cl)c(Cl)c1)C(F)F	3.14	-3.89	0.68	2.39		logS	O=C(Nc1ccc(Cl)c(Cl)c1)C(F)F
CN1CCOCC1	-0.14	0.87	0.76	0.82			CN1CCOCC1
CCCCNc1ccc(C(=O)OCCN(C)C)cc1	3.54	-2.68	0.32	0.84			CCCCNc1ccc(C(=O)OCCN(C)C)cc1
NS(=O)(=O)c1ccccc1N(=O)=O	0.55	-2.93	0.37	1.40			NS(=O)(=O)c1ccccc1[N+](=O)[O-]
CCOc1cc(CC2CNC(=N)NC2=N)cc(OCC)c1	1.54	-3.43	0.66	1.72			CCOc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OCC)c1
O=C(Oc1ccc(Cl)cc1Cl)N2CCCC2	4.01	-2.81	0.42	1.12			O=C(Oc1ccc(Cl)cc1Cl)N1CCCC1
O=N(=O)c1ccc2[nH]nnc2c1	1.05	-1.46	0.58	1.33			O=[N+]([O-])c1ccc2[nH]nnc2c1
Brc1ccc(Br)cc1	3.71	-3.58	0.30	0.60			Brc1ccc(Br)cc1
Nc1cc(N(=O)=O)ccc1C(=O)O	1.05	-2.16	0.46	0.87			Nc1cc([N+](=O)[O-])ccc1C(=O)O
CCCCC(O)CCC	2.83	-1.86	0.35	0.71			CCCCC(O)CCC
CN(N=Cc1ccc(N(=O)=O)cc1)P(=O)(N2CC2)N3CC3	0.50	-1.90	0.63	1.58			CN(N=Cc1ccc([N+](=O)[O-])cc1)P(=O)(N1CC1)N1CC1
CC(C)(C)C	2.95	-2.31	0.61	0.71			CC(C)(C)C
CC(=O)c1sc(S(C)=O)c(C#N)c1c2ccc(Cl)cc2	3.52	-4.05	0.48	0.90			CC(=O)c1sc(S(C)=O)c(C#N)c1-c1ccc(Cl)cc1
CC(=O)Nc1ccc(C(N)=O)cc1	0.27	-1.93	0.33	0.76			CC(=O)Nc1ccc(C(N)=O)cc1
CC(=O)OC=C1CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N2C1C(=O)O	0.22	-3.05	0.53	1.63			CC(=O)OC=C1CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N2C1C(=O)O
error in CC(=O)N=c1cccc[nH]1.CC(=O)c1ccc(C(C)C)cc1 Can't do disconnected structures.
CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C	2.04	-2.70	0.34	0.72			CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C
CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=COC(=O)C6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O	0.01	-3.02	0.37	1.19			CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=COC(=O)C6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O
CNC(=O)N(C)c1nc2ccccc2s1	1.79	-2.83	0.69	1.07			CNC(=O)N(C)c1nc2ccccc2s1
CCCCCCCCCCCCN1C=C(C(O)OC)CC1=O	4.12	-4.11	0.76	1.62			CCCCCCCCCCCCN1C=C(C(O)OC)CC1=O
NNC(=O)c1cccc(N(=O)=O)c1	-0.04	-2.31	0.33	1.04			NNC(=O)c1cccc([N+](=O)[O-])c1
CC1=CCC(O)(C(C)C)CC1	2.81	-1.79	0.52	1.14			CC1=CCC(O)(C(C)C)CC1
CC(C)C(Sc1nnc(C(F)(F)F)n1C)C(=O)NC(N)=O	1.78	-4.02	0.67	0.92			CC(C)C(Sc1nnc(C(F)(F)F)n1C)C(=O)NC(N)=O
C=CC(=O)NCCCN(CCO)CCO	-0.72	-0.57	0.79	1.54			C=CC(=O)NCCCN(CCO)CCO
Clc1cccc(Oc2ccc(Cl)c(Cl)c2Cl)c1Cl	6.39	-7.09	0.30	1.05			Clc1cccc(Oc2ccc(Cl)c(Cl)c2Cl)c1Cl
Cc1ncc(N(=O)=O)n1CCS(=O)(=O)C(C)C	-0.16	-2.09	0.40	2.39		logS	Cc1ncc([N+](=O)[O-])n1CCS(=O)(=O)C(C)C
O=C1CCCN1CCOc2ccc(N(=O)=O)cc2	1.52	-2.23	0.76	1.06			O=C1CCCN1CCOc1ccc([N+](=O)[O-])cc1
ClC1=C(Cl)C3C(C1Cl)C2(Cl)C(Cl)C(Cl)C3(Cl)C2(Cl)Cl	6.22	-6.75	0.43	0.69			ClC1=C(Cl)C2C(C1Cl)C1(Cl)C(Cl)C(Cl)C2(Cl)C1(Cl)Cl
COc1c(Cl)ccc(Cl)c1C(=O)Nc2ccc(C)cc2C	4.59	-5.58	0.56	1.19			COc1c(Cl)ccc(Cl)c1C(=O)Nc1ccc(C)cc1C
COc1ccc(Nc2c(C)c(O)c4c(c2O)C(=COC(N)=O)C3(OC)C5NC5CN34)cn1	1.59	-2.75	0.66	0.96			COc1ccc(Nc2c(C)c(O)c3c(c2O)C(=COC(N)=O)C2(OC)C4NC4CN32)cn1
CCCOc1cn[nH]c1	1.32	0.38	0.39	0.83			CCCOc1cn[nH]c1
CC(=O)NC(C)C(N)=O	-1.37	-0.21	0.56	0.98			CC(=O)NC(C)C(N)=O
CC(C)(C(N)=O)n1nc2ccccc2n1	1.26	-2.13	0.39	2.39		logS	CC(C)(C(N)=O)n1nc2ccccc2n1
O=C(C1CCCN1C(=O)CCCc2ccccc2)N3CCCC3	2.43	-3.00	0.71	1.50			O=C(C1CCCN1C(=O)CCCc1ccccc1)N1CCCC1
CN(C)CCCc1ccccc1	2.59	-2.58	0.56	0.85			CN(C)CCCc1ccccc1
CC1=CC(=O)CC(C)(C)C1	1.90	-1.86	0.74	1.19			CC1=CC(=O)CC(C)(C)C1
COc1ccc(N=C2SNC3SC(S(N)(=O)=O)NN23)cc1	-0.30	-1.85	1.20	2.39	logP	logS	COc1ccc(N=c2snc3sc(S(N)(=O)=O)nn23)cc1
CC1(C)C=C4C(C(=O)C1)C(c2cccc(Cl)c2)C(C#N)C(=N)N4c3c(F)cccc3F	5.08	-5.12	0.74	1.13			CC1(C)C=C2C(C(=O)C1)C(c1cccc(Cl)c1)C(C#N)C(=N)N2c1c(F)cccc1F
CCc1ccc(C)cc1	3.83	-3.36	0.30	0.63			CCc1ccc(C)cc1
S=C=NC(c1ccccc1)c2ccccc2	5.28	-4.74	0.41	0.72			S=C=NC(c1ccccc1)c1ccccc1
CCOC(=O)CCCO	0.43	0.22	0.42	1.11			CCOC(=O)CCCO
CC(C)OCC(O)Cn1ccnc1N(=O)=O	0.44	-1.85	0.43	0.68			CC(C)OCC(O)Cn1ccnc1[N+](=O)[O-]
CCc1ccc(CC)n1N=C2CCC(N3CCOCC3)NN2	1.15	-2.65	1.20	2.39	logP	logS	CCc1ccc(CC)n1N=c1ccc(N2CCOCC2)n[nH]1
CCCOC(=O)c1ccc(S(N)(=O)=O)cc1	1.42	-2.63	0.33	0.96			CCCOC(=O)c1ccc(S(N)(=O)=O)cc1
COc1cccc(Cl)c1Cl	3.45	-3.26	0.30	1.32			COc1cccc(Cl)c1Cl
CC1=CC(C(F)(F)F)(C(F)(F)F)C(C#N)C(=N)N1c2ccc(C(N)=O)cc2	3.20	-4.45	0.84	1.10			CC1=CC(C(F)(F)F)(C(F)(F)F)C(C#N)C(=N)N1c1ccc(C(N)=O)cc1
c1cnc4c(c1)NC(=NCCCN2CCN(CCCN=C5Nc6cccnc6n7cccc57)CC2)c3cccn34	3.15	-3.74	0.74	0.84			c1cnc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cccnc4n4cccc34)CC1)c1cccn12
COC(=O)CC(CN)c1ccc(Cl)cc1	1.51	-3.27	0.66	0.93			COC(=O)CC(CN)c1ccc(Cl)cc1
COC(=O)C(C)N(C(=O)c1ccco1)c2c(C)cccc2C	2.78	-3.74	0.79	0.74			COC(=O)C(C)N(C(=O)c1ccco1)c1c(C)cccc1C
CC1(C)N=C(N)N=C(N)N1c2cccc(N(=O)=O)c2	0.61	-3.07	0.63	2.39		logS	CC1(C)N=C(N)N=C(N)N1c1cccc([N+](=O)[O-])c1
CCCN(N=O)C(N)=O	0.59	-1.10	0.33	0.64			CCCN(N=O)C(N)=O
CC1CN=C(N=C2NCC(N(=O)=O)S2)N1C	0.80	-2.25	0.81	1.47			CC1CN=C(N=c2[nH]cc([N+](=O)[O-])s2)N1C
CC(=O)c1csc(c2ccc(C(C)C(=O)O)cc2)n1	3.03	-4.16	0.69	0.99			CC(=O)c1csc(-c2ccc(C(C)C(=O)O)cc2)n1
C=CCOC(=O)COc1ccc2C(=O)C(c3ccc(Cl)cc3)C(C)Oc2c1	4.26	-5.36	0.54	1.32			C=CCOC(=O)COc1ccc2c(=O)c(-c3ccc(Cl)cc3)c(C)oc2c1
O=C(Nc1ccc(Cl)cc1)c2ccccc2O	4.10	-3.74	0.32	0.89			O=C(Nc1ccc(Cl)cc1)c1ccccc1O
C#CCOc1cc(N=CNOCOC)cc(F)c1OCC#C	1.52	-4.28	0.60	2.39		logS	C#CCOc1cc(N=CNOCOC)cc(F)c1OCC#C
COCCOC	0.03	0.30	0.34	0.64			COCCOC
CCCCCCOc1ccc(S(N)(=O)=O)cc1	3.08	-3.71	0.49	1.18			CCCCCCOc1ccc(S(N)(=O)=O)cc1
CC(C)(C)c1ccc(O)cc1	3.47	-2.37	0.30	1.79			CC(C)(C)c1ccc(O)cc1
CC(=O)Nc1cccc(F)c1	1.28	-1.75	0.31	0.61			CC(=O)Nc1cccc(F)c1
O=N(=O)c1nccn1CCO	-0.51	-1.33	0.44	0.62			O=[N+]([O-])c1nccn1CCO
CN(C)C=CC#N	0.54	-0.61	0.53	0.75			CN(C)C=CC#N
Clc1ccc(Cl)c(NC2=NCCN2)c1	2.48	-2.66	0.70	1.13			Clc1ccc(Cl)c(NC2=NCCN2)c1
O=C1CC(C(O)O)Oc2ccc(Cl)cc12	0.45	-1.34	0.69	1.42			O=c1cc(C(O)O)oc2ccc(Cl)cc12
N=C1NCC(Cc2ccc(N)cc2)C(=N)N1	0.09	-3.16	0.62	1.49			N=c1[nH]cc(Cc2ccc(N)cc2)c(=N)[nH]1
Cc1nsc(C=NO)n1	0.68	-1.81	0.52	1.17			Cc1nsc(C=NO)n1
C=Cc1c(O)c(N3CC3)c(C)c(O)c1N2CC2	1.64	-0.98	0.69	1.35			C=Cc1c(O)c(N2CC2)c(C)c(O)c1N1CC1
O=C1NC(c2ccccc2)Nc3ccccc13	2.14	-3.23	0.58	0.93			O=c1[nH]c(-c2ccccc2)nc2ccccc12
Cc1ccc(OCC2CN=C(N)O2)cc1	1.49	-2.62	0.30	1.38			Cc1ccc(OCC2CN=C(N)O2)cc1
NNC(=O)NN=Cc1ccccc1	0.78	-2.19	0.55	2.39		logS	NNC(=O)NN=Cc1ccccc1
NC(C(=O)O)C1CCCC1	-1.43	-0.57	0.33	0.99			NC(C(=O)O)C1CCCC1
O=C(O)c1ccc(Br)cc1	2.43	-2.31	0.30	0.95			O=C(O)c1ccc(Br)cc1
COc1cc(CC2CNC(=N)NC2=N)cc(OC)c1N	0.10	-3.34	0.56	1.41			COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1N
CNC(=O)ON=C1SCSC1C	0.65	-1.77	0.39	1.00			CNC(=O)ON=C1SCSC1C
CCC(C)(Oc1ccc(Cl)cc1)C(=O)O	3.49	-3.02	0.56	1.34			CCC(C)(Oc1ccc(Cl)cc1)C(=O)O
COC(=O)c1ccc(C)c(NC(=O)Cc2coc3cc4c(cc23)CCC4)c1	4.04	-4.48	0.66	0.75			COC(=O)c1ccc(C)c(NC(=O)Cc2coc3cc4c(cc23)CCC4)c1
CCSCS(=O)CC(C)NC(=O)C=CC1C(C)NC(=O)NC1=O	-0.01	-2.70	0.56	1.81			CCSCS(=O)CC(C)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
C=C(C)C1CC=C(C)CC1	4.50	-2.47	0.43	0.72			C=C(C)C1CC=C(C)CC1
CN(CCCc1ccccc1)(Cl)(C)CCCCS(=O)(O[NH4])=O	-0.23	-5.83	1.20	2.39	logP	logS	C[N+](C)(CCCCS(=O)(=O)[O-])CCCc1ccccc1
Cc1c(CNc2ccc(Cl)cc2)cnc3NC(=N)NC(=N)c13	2.37	-3.67	0.61	1.18			Cc1c(CNc2ccc(Cl)cc2)cnc2[nH]c(=N)[nH]c(=N)c12
CCCCCCOCCOCCO	1.65	-1.96	0.44	1.30			CCCCCCOCCOCCO
ClC1C(Cl)C(Cl)C(I)C(Cl)C1Cl	4.17	-5.24	0.62	1.12			ClC1C(Cl)C(Cl)C(I)C(Cl)C1Cl
Clc1cccc3c1Oc2ccccc2O3	4.96	-3.98	0.31	0.88			Clc1cccc2c1Oc1ccccc1O2
Nc1ccc3c(c1)Cc2cc(Br)ccc23	3.98	-4.91	0.58	1.06			Nc1ccc2c(c1)Cc1cc(Br)ccc1-2
O=C1CNC(=O)N1c2ccccc2	0.50	-1.75	0.42	1.07			O=C1CNC(=O)N1c1ccccc1
O=C(NC(=O)c1ccccc1)Nc2ccccc2	3.10	-3.72	0.40	1.02			O=C(NC(=O)c1ccccc1)Nc1ccccc1
COP(=O)(C=C(Cl)Cl)OC	1.16	-1.30	0.37	2.39		logS	COP(=O)(C=C(Cl)Cl)OC
Cc1cnc(Cc2ccc(O)cc2)s1	2.75	-3.07	0.68	1.26			Cc1cnc(Cc2ccc(O)cc2)s1
CSC(C)=NOC(=O)N(C)SN(C)C(=O)OC1CCCCC1	3.11	-3.32	0.66	1.10			CSC(C)=NOC(=O)N(C)SN(C)C(=O)OC1CCCCC1
CC(C)c1cccc(S(N)(=O)=O)c1	1.75	-2.59	0.31	0.78			CC(C)c1cccc(S(N)(=O)=O)c1
c1cnoc1	0.38	-0.30	0.41	0.68			c1cnoc1
COC1N(C2CC(F)C(CO)O2)C(=O)NC(=O)C1(C)I	0.66	-1.67	0.54	2.39		logS	COC1N(C2CC(F)C(CO)O2)C(=O)NC(=O)C1(C)I
CCS(=O)c1sc(C#N)cc1C#N	1.97	-2.16	0.37	0.82			CCS(=O)c1sc(C#N)cc1C#N
c1ccc3c(c1)OCCOCCOCCOCCOCCOCCOCCOc2ccccc2OCCO3	1.54	-4.75	0.30	1.54			c1ccc2c(c1)OCCOCCOCCOCCOCCOCCOCCOc1ccccc1OCCO2
c1ccc3c(c1)Oc2ccccc2S3	4.20	-3.70	0.74	1.03			c1ccc2c(c1)Oc1ccccc1S2
Cc1ccc(C(=O)CS(=O)(=O)c2ccc(C)cc2)cc1	2.83	-4.74	0.36	1.49			Cc1ccc(C(=O)CS(=O)(=O)c2ccc(C)cc2)cc1
CN1CCC(=O)CC1	-0.32	0.89	0.59	0.65			Cn1ccc(=O)cc1
O=C1NC(=Nc2ccccc2)Nc3c1ncn3CCCCO	1.35	-2.58	0.30	1.03			O=c1[nH]c(=Nc2ccccc2)[nH]c2c1ncn2CCCCO
OCCn1nnc2ccccc12	0.37	-1.55	0.34	0.71			OCCn1nnc2ccccc21
Cc1cc(Cc2ccc(Cl)cc2Cl)c(Cl)cc1Cl	7.20	-7.64	0.30	0.88			Cc1cc(Cc2ccc(Cl)cc2Cl)c(Cl)cc1Cl
OCCCCl	0.36	0.24	0.36	0.76			OCCCCl
CCN(CC)CCCCCC(=O)Nc1c(C)cccc1C	3.48	-3.80	0.32	1.07			CCN(CC)CCCCCC(=O)Nc1c(C)cccc1C
CSC1NC(=Nc2ccc(Cl)cc2)NC(C(Cl)(Cl)Cl)N1	2.92	-4.43	0.71	1.51			CSc1nc(=Nc2ccc(Cl)cc2)nc(C(Cl)(Cl)Cl)[nH]1
error in COc1cc(C(C)C(=O)O)ccc1-c1nccs1.O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCOCCCc3ccccc3)c2s1 Can't do disconnected structures.
N#Cc1cc(I)c(O)c(I)c1	3.22	-3.50	0.75	1.46			N#Cc1cc(I)c(O)c(I)c1
CC=CCOCN(C(=O)CCl)c1c(CC)cccc1CC	4.50	-4.33	0.66	1.05			CC=CCOCN(C(=O)CCl)c1c(CC)cccc1CC
c1cn(C23CC4CC(CC(C4)C2)C3)cn1	2.97	-2.59	0.44	2.39		logS	c1cn(C23CC4CC(CC(C4)C2)C3)cn1
NCC(NC(C(O[NH4])=O)Cc1ccccc1)=O	-0.24	-2.21	1.20	2.39	logP	logS	NCC(=O)NC(Cc1ccccc1)C(=O)[O-]
O=C(NP(=O)(N1CC1)N2CC2)c3ccc(Cl)cc3	1.32	-1.38	0.35	2.39		logS	O=C(NP(=O)(N1CC1)N1CC1)c1ccc(Cl)cc1
Cc1ccc(NC(=O)c2cccnc2)cc1	2.01	-2.81	0.40	1.79			Cc1ccc(NC(=O)c2cccnc2)cc1
CCCCc1ccc(CC(=O)O)cc1	3.53	-3.52	0.37	1.10			CCCCc1ccc(CC(=O)O)cc1
Cc1cc(C)c2ccccc2c1	4.36	-4.60	0.30	0.60			Cc1cc(C)c2ccccc2c1
CC13CCC(=O)C=C1CCC2C3CCC4(C)C2CCC4(O)C(=O)CO	2.79	-4.14	0.46	1.09			CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO
CCc1ccccc1CC	4.55	-3.87	0.30	0.64			CCc1ccccc1CC
c1ccc3c(c1)Cc2cc4ccccc4cc23	5.31	-6.65	0.30	0.60			c1ccc2c(c1)Cc1cc3ccccc3cc1-2
CCCCCCCCCCCc1ccccc1O	7.19	-6.02	0.31	0.80			CCCCCCCCCCCc1ccccc1O
CC1CC(=O)Oc2cc(OC(C)C)ccc12	3.51	-2.81	0.70	1.39			Cc1cc(=O)oc2cc(OC(C)C)ccc12
CCc1cc(C)ccc1C	4.35	-3.84	0.30	0.76			CCc1cc(C)ccc1C
CC(=O)Nc1ccc(C(=O)O)c(O)c1	1.18	-1.85	0.49	0.78			CC(=O)Nc1ccc(C(=O)O)c(O)c1
O=C1C=C(N3CCCC3)C(=O)C=C1N2CCCC2	1.68	-0.84	0.66	1.26			O=C1C=C(N2CCCC2)C(=O)C=C1N1CCCC1
CC1(C)N=C(N)N=C(N)N1c2ccc(N)cc2	0.04	-2.62	0.55	2.39		logS	CC1(C)N=C(N)N=C(N)N1c1ccc(N)cc1
C#CCN(CC#C)CC#C	1.25	-3.69	0.68	0.97			C#CCN(CC#C)CC#C
